cleaned_text,tokens
"You know, Marge, that Bart of ours is a little miracle. His winning smile, his button nose, his fat little stomach, his face alight with wholesome mischief... He reminds me of me before the weight of the world crushed my spirit.",know marge bart little miracle win smile button nose fat little stomach face alight wholesome mischief remind weight world crush spirit
"Loser-mobile... heh, heh ... wait a minute!",loser mobile heh heh wait minute
"Okay Bart, we've got a lot of work to do on that car. So, I'm gonna pull you out of school for the next couple of weeks...",okay bart get lot work car go to pull school couple week
"Bart, the car had a few bugs in it, I admit that. But we're Team Simpson.",bart car bug admit team simpson
"I'll just sit here in ""Li'l Lightnin'"" -- which the Simpsons built -- and remember that for one brief shining moment, I had a son.",sit lightnin simpsons build remember brief shine moment son
"Oh, sure, I'll take you, wait with you, worry about you, and then you'll ride home with someone who has a faster car. This is how you get your kicks, isn't it, Lisa?",oh sure wait worry ride home fast car kick lisa
"Name your son's hobbies. Building a soapbox racer... ""Name your child's friends."" Martin... Martin! I'll curse that name 'til the day I die... Huh? ""Who is your son's heroe?""...",son hobby build soapbox racer child friend martin martin curse til day die huh son heroe
Three-time Soapbox Derby Champion Ronnie Beck!,time soapbox derby champion ronnie beck
"Wow, I'm one question away from being a perfect father. ""Name another dad you talked to about parenting.""",wow question away perfect father dad talk parenting
"Flanders, Flanders, uh, uh, when should a boy start dating?",flander flanders uh uh boy start date
"I talked to Flanders about parenting. I'm a perfect father. Hold on, son, I'm-a coming!",talk flanders parenting perfect father hold son coming
"That's my boy. Nyah-nyah, nyah, nyah-nyah-nyah!",boy nyah nyah nyah nyah nyah nyah
"Boy, they've got better things to talk about than you. Sheesh, what an ego.",boy get well thing talk sheesh ego
"You spoke while you were jinxed so I get to punch you in the arm. Sorry, it's the law. Heh, heh.",speak jinx punch arm sorry law heh heh
"Hey, I know a good drink. Really hits the spot. I invented it myself...",hey know good drink hit spot invent
One night Marge's beastly sisters were showing slides from their latest vacation.,night marge beastly sister show slide late vacation
"As I stared up at that hairy yellow drumstick, I knew I needed a drink.",stare hairy yellow drumstick know need drink
I decided to mix the little bits that were left in every liquor bottle.,decide mix little bit leave liquor bottle
In my haste I had grabbed a bottle of the kids' cough syrup.,haste grab bottle kid cough syrup
"Moe, I haven't seen the place this crowded since the government cracked down on you for accepting food stamps. Do you think my drink had something to do with it?",moe see place crowd government crack accept food stamp think drink
